,locality,type of property,subtype of property,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
104,Bruxelles,APARTMENT,APARTMENT,325000.0,1.0,77.0,HYPER_EQUIPPED,False,,,,,,UNKNOWN,2,False,AS_NEW
105,Fleurus,HOUSE,VILLA,559000.0,5.0,449.0,HYPER_EQUIPPED,False,,True,28.0,True,845.0,1967,,False,AS_NEW
106,,,,,,,,,,,,,,,,,
107,Schaerbeek,HOUSE,HOUSE,410000.0,3.0,140.0,USA_HYPER_EQUIPPED,,-1.0,,,,,0,2,,GOOD
108,LETTELINGEN,HOUSE,HOUSE,685000.0,4.0,210.0,INSTALLED,,1.0,True,160.0,True,,2875,4,True,GOOD
109,Beyne-Heusay,HOUSE,HOUSE,404915.0,3.0,160.0,0,,,,,True,,2350,4,,
110,Waterloo,HOUSE,VILLA,640000.0,4.0,200.0,INSTALLED,False,1.0,True,,True,,658,4,,GOOD
111,Blaton,APARTMENT,APARTMENT,170000.0,2.0,82.0,0,,-1.0,True,,,,UNKNOWN,4,,
112,Gent,APARTMENT,GROUND_FLOOR,385000.0,3.0,104.0,USA_HYPER_EQUIPPED,False,,True,26.0,,,,4,False,AS_NEW
113,Gent,APARTMENT,GROUND_FLOOR,310000.0,2.0,90.0,USA_HYPER_EQUIPPED,False,,True,11.0,,,,4,False,AS_NEW
114,Gent,APARTMENT,APARTMENT,250000.0,1.0,60.0,USA_HYPER_EQUIPPED,False,,True,10.0,,,,4,False,AS_NEW
115,Ronse,APARTMENT,APARTMENT,248000.0,2.0,103.0,INSTALLED,,-1.0,True,10.0,True,,,2,,GOOD
116,Boortmeerbeek,HOUSE,VILLA,795000.0,4.0,218.0,HYPER_EQUIPPED,False,,True,,,,1755,4,False,AS_NEW
117,Beveren,HOUSE,HOUSE,330000.0,3.0,137.0,HYPER_EQUIPPED,False,,True,20.0,True,171.0,248,2,False,AS_NEW
118,Watermael-Boitsfort,HOUSE,HOUSE,1100000.0,4.0,248.0,USA_HYPER_EQUIPPED,False,,True,,True,60.0,150,2,False,AS_NEW
119,Auderghem,APARTMENT,APARTMENT,333000.0,2.0,100.0,USA_HYPER_EQUIPPED,,,True,5.0,,,UNKNOWN,2,False,GOOD
120,Durbuy,HOUSE,HOUSE,495000.0,5.0,451.0,USA_HYPER_EQUIPPED,False,,True,,True,1110.0,1110,3,False,AS_NEW
121,Assebroek,HOUSE,EXCEPTIONAL_PROPERTY,695000.0,6.0,275.0,NOT_INSTALLED,False,1.0,,,True,1200.0,2139,4,False,TO_RENOVATE
122,Woluwe-Saint-Lambert,HOUSE,HOUSE,845000.0,4.0,239.0,USA_HYPER_EQUIPPED,False,,True,1.0,True,163.0,280,3,False,AS_NEW
123,Dilbeek,HOUSE,EXCEPTIONAL_PROPERTY,1495000.0,4.0,381.0,HYPER_EQUIPPED,,,True,,,,14528,4,True,AS_NEW
124,Trooz,HOUSE,MIXED_USE_BUILDING,229000.0,3.0,180.0,NOT_INSTALLED,False,,True,25.0,,,140,2,False,TO_RENOVATE
125,Berlare,HOUSE,HOUSE,439000.0,4.0,200.0,INSTALLED,,,True,,,,570,4,False,GOOD
126,Wanze,HOUSE,HOUSE,460000.0,4.0,240.0,INSTALLED,,-1.0,True,,True,,2600,4,,AS_NEW
127,Woluwe-Saint-Pierre,HOUSE,HOUSE,725000.0,4.0,189.0,USA_HYPER_EQUIPPED,False,,,,True,24.0,120,2,False,AS_NEW
128,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,
133,SINT-AMANDS,HOUSE,HOUSE,268000.0,2.0,156.0,INSTALLED,,-1.0,True,87.0,True,,202,3,,GOOD
134,Merksem,HOUSE,HOUSE,285000.0,2.0,163.0,,,-1.0,,,True,145.0,215,2,,TO_RENOVATE
135,SINAAI,HOUSE,HOUSE,349000.0,3.0,198.0,INSTALLED,,-1.0,,,,,372,3,,GOOD
136,Diest,HOUSE,HOUSE,359000.0,3.0,220.0,INSTALLED,,-1.0,True,30.0,True,80.0,216,3,,GOOD
137,Beersel,HOUSE,APARTMENT_BLOCK,395000.0,2.0,164.0,SEMI_EQUIPPED,,-1.0,True,,,,240,3,,TO_BE_DONE_UP
138,Gent,HOUSE,MIXED_USE_BUILDING,495000.0,6.0,295.0,SEMI_EQUIPPED,,-1.0,True,6.0,,,365,3,,TO_RESTORE
139,Rixensart,HOUSE,HOUSE,735000.0,4.0,225.0,HYPER_EQUIPPED,False,,True,,True,2000.0,3700,4,False,GOOD
140,Ixelles,HOUSE,APARTMENT_BLOCK,845000.0,5.0,490.0,USA_INSTALLED,False,,True,19.0,True,273.0,415,2,False,GOOD
141,Woluwe-Saint-Pierre,HOUSE,VILLA,1050000.0,4.0,210.0,HYPER_EQUIPPED,False,,True,12.0,True,300.0,592,4,False,AS_NEW
142,Eeklo,HOUSE,VILLA,469000.0,4.0,211.0,INSTALLED,False,,True,93.0,True,187.0,600,4,True,GOOD
143,Mechelen,HOUSE,HOUSE,169000.0,2.0,58.0,USA_INSTALLED,False,,,,,,32,2,False,TO_RENOVATE
144,Ronse,HOUSE,HOUSE,299000.0,4.0,200.0,USA_HYPER_EQUIPPED,False,,True,30.0,True,83.0,207,2,False,GOOD
145,Huy,HOUSE,HOUSE,320000.0,3.0,180.0,SEMI_EQUIPPED,,-1.0,True,10.0,True,,1297,4,,TO_RENOVATE
