,url,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
1146,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/10672355,Brussels,Brussels,Auderghem,1160,HOUSE,HOUSE,549000.0,5.0,200.0,INSTALLED,False,,True,18.0,,,94,3,False,GOOD
1147,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10671672,Brussels,Brussels,Woluwe-Saint-Pierre,1150,HOUSE,HOUSE,795000.0,4.0,185.0,HYPER_EQUIPPED,False,,True,,True,300.0,392,3,False,GOOD
1148,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10673633,Brussels,Brussels,Etterbeek,1040,HOUSE,HOUSE,1295000.0,6.0,400.0,INSTALLED,False,,True,15.0,True,,380,2,,GOOD
1149,https://www.immoweb.be/en/classified/villa/for-sale/binche/7130/10679928,Wallonie,Hainaut,Binche,7130,HOUSE,VILLA,795000.0,6.0,460.0,INSTALLED,False,1.0,,,True,,12530,4,,GOOD
1150,https://www.immoweb.be/en/classified/villa/for-sale/buvrinnes/7133/10679916,Wallonie,Hainaut,Buvrinnes,7133,HOUSE,VILLA,795000.0,6.0,460.0,INSTALLED,False,1.0,True,,True,,12530,4,,GOOD
1151,https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/10685226,Flanders,West Flanders,Kortrijk,8500,HOUSE,HOUSE,169500.0,2.0,150.0,SEMI_EQUIPPED,,-1.0,True,,True,,132,2,,TO_RENOVATE
1152,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/10684665,Flanders,East Flanders,Aalst,9300,HOUSE,HOUSE,178000.0,3.0,185.0,,,,,,,,50,2,,TO_RENOVATE
1153,https://www.immoweb.be/en/classified/house/for-sale/lonzee/5030/10685122,Wallonie,Namur,LONZEE,5030,HOUSE,HOUSE,240000.0,2.0,120.0,NOT_INSTALLED,,-1.0,,,True,200.0,427,3,,TO_RENOVATE
1154,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10684586,Wallonie,Liège,Seraing,4100,HOUSE,HOUSE,250000.0,2.0,103.0,SEMI_EQUIPPED,False,,True,33.0,,,113,3,False,GOOD
1155,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10684657,Flanders,East Flanders,Gent,9000,HOUSE,HOUSE,415000.0,3.0,134.0,INSTALLED,False,,True,14.0,,,111,2,False,AS_NEW
1156,https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/10683654,Flanders,Flemish Brabant,Kraainem,1950,HOUSE,HOUSE,449000.0,3.0,167.0,NOT_INSTALLED,False,,True,14.0,True,310.0,418,3,False,TO_RENOVATE
1157,https://www.immoweb.be/en/classified/villa/for-sale/nivelles/1400/10684905,Wallonie,Walloon Brabant,Nivelles,1400,HOUSE,VILLA,575000.0,4.0,280.0,INSTALLED,False,,True,,,,1371,4,True,TO_BE_DONE_UP
1158,https://www.immoweb.be/en/classified/villa/for-sale/les-bons-villers/6210/10684821,Wallonie,Hainaut,Les-Bons-Villers,6210,HOUSE,VILLA,575000.0,4.0,280.0,INSTALLED,False,,True,,,,1371,4,True,TO_BE_DONE_UP
1159,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10683628,Brussels,Brussels,Woluwe-Saint-Pierre,1150,HOUSE,HOUSE,785000.0,5.0,244.0,HYPER_EQUIPPED,False,,True,5.0,,,0,3,False,AS_NEW
1160,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/10683627,Brussels,Brussels,Auderghem,1160,HOUSE,HOUSE,785000.0,5.0,244.0,HYPER_EQUIPPED,False,,True,5.0,,,0,3,False,AS_NEW
1161,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10683642,Brussels,Brussels,Woluwe-Saint-Pierre,1150,HOUSE,HOUSE,875000.0,3.0,165.0,HYPER_EQUIPPED,False,,True,,,,555,4,False,TO_BE_DONE_UP
1162,https://www.immoweb.be/en/classified/house/for-sale/kortenberg%20meerbeek/3078/10683915,Flanders,Flemish Brabant,Kortenberg Meerbeek,3078,HOUSE,HOUSE,895000.0,4.0,285.0,USA_HYPER_EQUIPPED,,,True,,,,562,3,,AS_NEW
1163,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10658676,Wallonie,Liège,Huy,4500,HOUSE,HOUSE,189000.0,3.0,150.0,INSTALLED,,-1.0,,,True,2300.0,2450,2,,JUST_RENOVATED
1164,https://www.immoweb.be/en/classified/house/for-sale/leuven/3010/10658498,Flanders,Flemish Brabant,Leuven,3010,HOUSE,HOUSE,379000.0,3.0,111.0,INSTALLED,,,,,True,73.0,131,2,False,GOOD
1165,https://www.immoweb.be/en/classified/house/for-sale/rixensart/1330/10657873,Wallonie,Walloon Brabant,Rixensart,1330,HOUSE,HOUSE,399000.0,3.0,173.0,SEMI_EQUIPPED,False,,True,15.0,True,333.0,428,3,False,TO_RENOVATE
1166,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wuustwezel/2990/10659193,Flanders,Antwerp,Wuustwezel,2990,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
1167,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/10659534,Flanders,East Flanders,Dendermonde,9200,HOUSE,HOUSE,599000.0,4.0,378.0,INSTALLED,,-1.0,,,True,,571,3,,TO_BE_DONE_UP
1168,https://www.immoweb.be/en/classified/house/for-sale/watermael-boitsfort/1170/10658482,Brussels,Brussels,Watermael-Boitsfort,1170,HOUSE,HOUSE,1100000.0,4.0,248.0,USA_HYPER_EQUIPPED,False,,True,,True,60.0,150,2,False,AS_NEW
1169,https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/10668883,Flanders,Flemish Brabant,Beersel,1650,HOUSE,HOUSE,495000.0,3.0,161.0,INSTALLED,,-1.0,True,,,,303,3,,GOOD
1170,https://www.immoweb.be/en/classified/apartment/for-sale/spa/4900/10686666,Wallonie,Liège,Spa,4900,APARTMENT,APARTMENT,135000.0,2.0,116.0,INSTALLED,False,,,,,,UNKNOWN,2,False,GOOD
1171,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10686664,Brussels,Brussels,Uccle,1180,APARTMENT,APARTMENT,545000.0,2.0,208.0,INSTALLED,False,,True,16.0,True,40.0,UNKNOWN,2,False,GOOD
1172,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10686659,Flanders,West Flanders,Blankenberge,8370,APARTMENT,APARTMENT,229000.0,1.0,59.0,INSTALLED,,-1.0,,,,,,2,,
1173,https://www.immoweb.be/en/classified/apartment/for-sale/merksem/2170/10686655,Flanders,Antwerp,Merksem,2170,APARTMENT,APARTMENT,179000.0,1.0,96.0,SEMI_EQUIPPED,,-1.0,True,4.0,,,,2,,GOOD
1174,https://www.immoweb.be/en/classified/house/for-sale/malmedy/4960/10264190,Wallonie,Liège,Malmedy,4960,HOUSE,HOUSE,120000.0,3.0,68.0,,True,,True,,,,86435,3,False,GOOD
1175,https://www.immoweb.be/en/classified/house/for-sale/wingene/8750/10686645,Flanders,West Flanders,Wingene,8750,HOUSE,HOUSE,375000.0,4.0,198.0,INSTALLED,False,,,,True,314.0,416,3,False,AS_NEW
1176,https://www.immoweb.be/en/classified/house/for-sale/hooglede/8830/10686644,Flanders,West Flanders,Hooglede,8830,HOUSE,HOUSE,327600.0,3.0,143.0,0,False,,,,True,230.0,285,,False,
1177,https://www.immoweb.be/en/classified/house/for-sale/hooglede/8830/10686643,Flanders,West Flanders,Hooglede,8830,HOUSE,HOUSE,319000.0,3.0,161.0,0,False,,,,True,200.0,263,,False,
1178,https://www.immoweb.be/en/classified/house/for-sale/hooglede/8830/10686642,Flanders,West Flanders,Hooglede,8830,HOUSE,HOUSE,320250.0,3.0,167.0,0,False,,,,True,230.0,301,,False,
1179,https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/10686641,Flanders,West Flanders,Roeselare,8800,HOUSE,HOUSE,302500.0,3.0,167.0,0,False,,,,True,230.0,301,,False,
1180,https://www.immoweb.be/en/classified/house/for-sale/hooglede/8830/10686640,Flanders,West Flanders,Hooglede,8830,HOUSE,HOUSE,348000.0,3.0,167.0,0,False,,,,True,230.0,301,,False,
1181,https://www.immoweb.be/en/classified/house/for-sale/hooglede/8830/10686639,Flanders,West Flanders,Hooglede,8830,HOUSE,HOUSE,286000.0,4.0,70.0,0,False,,,,True,,250,,False,GOOD
